service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99864,0,0,0,0,0,0,1,20140506,20151231
99865,1,1,1,1,1,1,0,20140506,20151231
99866,1,1,1,1,1,1,0,20140506,20151231
99867,1,1,1,1,1,1,0,20140506,20151231
99868,1,1,1,1,1,1,0,20140506,20151231
99869,1,1,1,1,1,1,0,20140506,20151231
99870,1,1,1,1,1,1,0,20140506,20151231
99871,1,1,1,1,1,1,0,20140506,20151231
99872,1,1,1,1,1,1,0,20140506,20151231
99873,1,1,1,1,1,1,0,20140506,20151231
99874,1,1,1,1,1,1,0,20140506,20151231
99875,1,1,1,1,1,1,0,20140506,20151231
99876,1,1,1,1,1,1,0,20140506,20151231
99877,1,1,1,1,1,1,0,20140506,20151231
99878,1,1,1,1,1,1,0,20140506,20151231
99879,1,1,1,1,1,1,0,20140506,20151231
99880,1,1,1,1,1,1,0,20140506,20151231
99881,0,0,0,0,1,0,0,20140506,20151231
99882,0,0,0,0,1,0,0,20140506,20151231
99883,1,1,1,1,1,0,0,20140506,20151231
99884,1,1,1,1,1,0,0,20140506,20151231
99885,1,1,1,1,1,0,0,20140506,20151231
99886,1,1,1,1,1,0,0,20140506,20151231
99887,1,1,1,1,1,0,0,20140506,20151231
99888,1,1,1,1,1,0,0,20140506,20151231
99889,1,1,1,1,1,0,0,20140506,20151231
99890,1,1,1,1,1,0,0,20140506,20151231
99891,1,1,1,1,1,0,0,20140506,20151231
99892,1,1,1,1,1,0,0,20140506,20151231
99893,1,1,1,1,1,0,0,20140506,20151231
99894,1,1,1,1,1,0,0,20140506,20151231
99895,1,1,1,1,1,0,0,20140506,20151231
99896,1,1,1,1,1,0,0,20140506,20151231
99897,1,1,1,1,1,0,0,20140506,20151231
99898,1,1,1,1,1,0,0,20140506,20151231
99899,1,1,1,1,1,0,0,20140506,20151231
99900,1,1,1,1,1,0,0,20140506,20151231
99901,1,1,1,1,1,0,0,20140506,20151231
99902,1,1,1,1,1,0,0,20140506,20151231
