trip_id,stop_sequence,arrival_time,departure_time,stop_id
41131,20,12:40:27,12:40:47,37.0
41389,10,12:40:29,12:40:54,9.0
41224,6,12:40:32,12:40:57,5.0
41173,10,12:40:34,12:40:59,11.0
40999,4,12:40:37,12:40:52,39.0
41245,24,12:40:40,12:40:50,41.0
40921,7,12:40:41,12:41:06,19.0
41268,6,12:40:41,12:41:06,7.0
40979,14,12:40:50,12:41:20,13.0
41363,20,12:40:55,12:41:10,21.0
41421,8,12:40:56,12:41:16,35.0
40878,2,12:40:59,12:41:14,3.0
41017,2,12:41:16,12:41:31,26.0
41083,1,12:41:17,12:41:32,42.0
41193,27,12:41:19,12:41:34,28.0
41476,13,12:41:21,12:41:41,15.0
40956,24,12:41:26,12:41:41,25.0
41211,17,12:41:35,12:42:00,12.0
